county_id,building_count,address_count,0,1,2~5,6~10,11~20,21~50,>50,addr_in_building,addr_out_building,address_distance_with_building(<=3m),address_distance_with_building(>3m)
A,76650.0,1119294.0,29332.0,8199.0,12901.0,12797.0,7085.0,4354.0,1982.0,592807.0,526487.0,720432.0,398862.0
B,54951.0,1189956.0,21645.0,21509.0,5507.0,1589.0,1223.0,1717.0,1761.0,315693.0,874263.0,347508.0,842448.0
C,4410.0,187423.0,1691.0,432.0,392.0,672.0,504.0,468.0,251.0,54843.0,132580.0,61601.0,125822.0
D,43179.0,791842.0,16942.0,15739.0,6596.0,1480.0,1002.0,832.0,588.0,146109.0,645733.0,168425.0,623417.0
E,29947.0,1188442.0,14390.0,8297.0,2332.0,783.0,848.0,1614.0,1683.0,265351.0,923091.0,301493.0,886949.0
F,46973.0,1940802.0,16812.0,8102.0,5429.0,4343.0,3611.0,4755.0,3921.0,686276.0,1254526.0,788666.0,1152136.0
G,11339.0,785.0,11144.0,171.0,23.0,1.0,0.0,0.0,0.0,234.0,551.0,248.0,537.0
H,46963.0,1001500.0,17270.0,16106.0,4669.0,1938.0,2060.0,2945.0,1975.0,362361.0,639139.0,393698.0,607802.0
I,4642.0,666.0,4534.0,95.0,13.0,0.0,0.0,0.0,0.0,127.0,539.0,147.0,519.0
J,9565.0,259551.0,5742.0,2017.0,717.0,168.0,237.0,450.0,234.0,46436.0,213115.0,56364.0,203187.0
K,8683.0,209633.0,4390.0,3269.0,659.0,90.0,102.0,101.0,72.0,16907.0,192726.0,19288.0,190345.0
M,9275.0,1613.0,9126.0,137.0,11.0,1.0,0.0,0.0,0.0,171.0,1442.0,188.0,1425.0
N,40113.0,421583.0,19558.0,14853.0,4329.0,628.0,365.0,274.0,106.0,54248.0,367335.0,63036.0,358547.0
O,6216.0,208041.0,2777.0,1298.0,966.0,271.0,234.0,393.0,277.0,49949.0,158092.0,58964.0,149077.0
P,15974.0,258052.0,8674.0,5699.0,1388.0,101.0,44.0,30.0,38.0,15218.0,242834.0,17691.0,240361.0
Q,13706.0,166524.0,8498.0,4000.0,959.0,127.0,63.0,35.0,24.0,12373.0,154151.0,15718.0,150806.0
T,10753.0,288772.0,6543.0,3020.0,884.0,79.0,64.0,78.0,85.0,17406.0,271366.0,20058.0,268714.0
U,47180.0,815.0,46913.0,250.0,16.0,1.0,0.0,0.0,0.0,300.0,515.0,368.0,447.0
V,7181.0,89188.0,4784.0,1951.0,372.0,14.0,26.0,18.0,16.0,6644.0,82544.0,7946.0,81242.0
X,3095.0,36978.0,1812.0,1070.0,194.0,12.0,4.0,2.0,1.0,1831.0,35147.0,2235.0,34743.0
,,,,,,,,,,,,,
